time,bank_rad,pitch_rad,heading_deg,agent_n_m,agent_e_m,agent_up_m,foe_n_m,foe_e_m,foe_up_m,foe_roll_deg,foe_pitch_deg,foe_yaw_deg,mode,mach,aoa_deg,foe_mach,foe_aoa_deg
0.10000000000127329,-0.03536551206219561,0.5573704773066398,359.92928074136796,31.99054654821611,0.001184406725989392,7392.959979726076,2664.572989785042,-178.4464035208788,7684.7713200638655,-1.4109176124428204,-0.21943383760064097,198.00977891432697,merge,1.0242888950652025,0.3852503239430731,1.0426259162390714,-0.02949654107086908
0.20000000000254659,-0.13947762984822204,2.3516102253380957,359.7166792536286,63.9823529039176,-0.008146577781670784,7393.166518904221,2633.707319084022,-188.44299113862232,7684.59978211729,-4.205590234857536,-1.558380362921692,198.06689978796334,merge,1.0238467146645245,1.7591988996442456,1.0442028499743359,-1.124185377434626
0.3000000000038199,-0.24141166795636085,4.671153170504551,359.35633912065805,95.95368105269604,-0.06631618152254683,7393.646614523641,2602.803167317415,-198.45632679271688,7684.284980309093,-7.1019745686625635,-2.9872338914111642,198.14407030781072,merge,1.023371149825337,3.575661162154673,1.0452509874383298,-2.3005360820658973
0.40000000000509317,-0.32219287761570287,5.6594821905490384,359.05992864713045,127.91105113880776,-0.203147790947732,7394.405985331608,2571.8799489847815,-208.47690062580284,7683.8237564722185,-10.792158065815766,-3.8313647355042333,198.28215285678277,merge,1.0230611510684389,3.9822980467226503,1.0458495380876802,-2.836950986053991
0.5000000000063665,-0.43698046653219946,6.9729572008917335,358.4421658597194,159.83743038386427,-0.47060298990611055,7395.4923285745745,2540.94739681304,-218.51428383815576,7683.1867849302835,-13.87037635082242,-3.5447702495839506,198.201595738854,merge,1.0223774530517584,4.662114697888767,1.0461064961277529,-2.2785444211932093
0.6000000000076398,-0.5638816202718061,8.401756743622075,357.56306919698244,191.7311520648116,-0.9211498190657151,7396.913132119891,2510.007272591728,-228.53685051407243,7682.49572790083,-19.83230541504729,-1.8409001446385962,197.67743205618228,merge,1.0218542749876611,5.433666802438444,1.0462072031427834,-0.5082133535755206
0.700000000008913,-0.6956893957153548,9.505915041591562,356.5883169396871,223.58323491834972,-1.6152017930225424,7398.66934639442,2479.037318346279,-238.49343815693794,7681.9002786415995,-26.447843703544102,0.923886516545262,196.59738844251132,merge,1.021127235541914,5.850797794951645,1.0464436734358626,2.1740662684342595
0.8000000000101863,-0.8314616193590957,10.30528867491069,355.53815759424464,255.38230248952746,-2.6104467180658286,7400.740935640061,2448.014063236345,-248.30900412949143,7681.520666331697,-33.188333882202336,3.339192730779004,195.32987760663354,merge,1.0202818900274553,5.978150359475623,1.0464097234117524,4.331354728503042
0.9000000000114596,-0.9713838791011928,10.862547215356953,354.3966062199861,287.12063826541555,-3.9552340781739446,7403.088816430968,2416.9232862472377,-257.8952247161117,7681.42856213691,-40.131930736848176,4.959497101893322,194.15773491923866,merge,1.0193984307622226,5.93007629006346,1.0459920428538212,5.531184800415102
1.000000000012733,-1.1155765757445117,11.208111214610337,353.14902847327005,318.7939095406634,-5.687515672267882,7405.66153218779,2385.7586985271787,-267.17449984177136,7681.640268921823,-47.321391018258986,6.005483885187168,193.07629965911633,merge,1.018553294494373,5.788852002463127,1.0452217340743242,6.063033474624615
