time,bank_rad,pitch_rad,heading_deg,agent_n_m,agent_e_m,agent_up_m,foe_n_m,foe_e_m,foe_up_m,foe_roll_deg,foe_pitch_deg,foe_yaw_deg
0.09999999999990905,-0.03679793307597299,0.5703493786696745,359.93148869538277,31.493572775024624,0.0021029033483851243,7036.377065056694,-2227.019222940028,-1364.6687506919807,7504.27280185386,-2.0904412147272557,0.5637550436765827,78.1433602332584
0.1999999999998181,-0.14192847956806848,2.3874366506783162,359.7241762985889,62.984898524933975,-0.006350339658122753,7036.639871821404,-2220.4513708321238,-1333.4263554293452,7504.516360127324,-8.113643278911058,2.37057587081592,77.92516120290031
0.29999999999972715,-0.28005429607375804,4.948090413798725,359.2272598874475,94.46171648481564,-0.06388542114177345,7037.183974404413,-2213.8390226360507,-1302.2153383776645,7505.037007758004,-15.768685974767582,4.932569004500907,77.43328589725864
0.3999999999996362,-0.4185876745239795,6.969826915560131,358.5259807090815,125.92569178191746,-0.22797243693529692,7038.052069421724,-2207.1288406217127,-1271.037565342837,7505.8713231795255,-23.017374179390035,6.972678405382878,76.75235021137422
0.49999999999954525,-0.5554307771232567,8.385437328636293,357.7162597462251,157.36404966232593,-0.5708455607691627,7039.275988008616,-2200.2553150528975,-1239.9215452119631,7507.061433007256,-30.304186344577417,8.40282964675973,75.97279349711205
0.5999999999994543,-0.6896844756738088,9.390102312209073,356.8197413325865,188.76319333343577,-1.158381853211106,7040.849390214363,-2193.1566057886116,-1208.8967364689443,7508.612475311021,-37.79196533511802,9.421746421206253,75.11702902529187
0.6999999999993634,-0.826806746413947,10.121491209445868,355.8206108969755,220.11150945046538,-2.0493429097222298,7042.747798590455,-2185.779652047179,-1177.9848949009336,7510.499333897004,-45.52261397746973,10.174839311190777,74.16313771706449
0.7999999999992724,-0.9682906148711417,10.643968521534948,354.70217346743914,251.4022615005237,-3.290072956965445,7044.927137106085,-2178.080067084285,-1147.2019907848078,7512.67974906385,-53.50594719970556,10.726110981036282,73.09089961514744
0.8999999999991815,-1.0792106083370074,11.034732732570488,353.4819285703827,282.6365820998157,-4.9073146862616746,7047.325489268947,-2170.021577374985,-1116.5587718038987,7515.101347116584,-61.74140185604531,11.096048857959767,71.8856109441035
0.9999999999990905,-1.1679733384271302,11.235680352133645,352.18042067314536,313.82350627166613,-6.89327622414631,7049.88630349364,-2161.575589611891,-1086.0618819624922,7517.7057004113085,-70.2191445016459,11.274907263847707,70.54923591560168
1.0999999999989996,-1.2611650407746935,11.300681050861717,350.88193362620905,344.9479489686837,-9.299432487005017,7052.584473603451,-2152.7210068992354,-1055.714780917736,7520.430643776763,-78.92106670859908,11.237647810509737,69.10226194031162
1.1999999999989086,-1.3419585471519315,11.208245509588268,349.57539248483306,376.0142059108918,-12.11647326515586,7055.378284320099,-2143.4444626944232,-1025.5183938487262,7523.211501771811,-87.8293881907656,10.951706421883268,67.58380629357418
1.2999999999988177,-1.433674938798004,11.009189523598945,348.28623615669426,407.00184922917504,-15.385699590061936,7058.235144068027,-2133.751771804079,-995.4647941997328,7525.980986443315,-95.12012409147754,10.457604329144544,66.0443577402152
1.3999999999987267,-1.4616280009981006,10.766877688335502,347.0033197704491,437.9205485004684,-19.061469304647865,7061.109093247945,-2123.6714439701273,-965.5361707406295,7528.692205537472,-101.17118709292029,9.720198908526196,64.5863200629953
1.4999999999986358,-1.457007396063275,10.468120436527276,345.8366924103855,468.779427525111,-23.11224248997403,7063.9832533229655,-2113.1763706861852,-935.7565804216722,7531.290227766512,-107.32546522909834,8.816073781488047,63.26117040645231
