time,bank_rad,pitch_rad,heading_deg,agent_n_m,agent_e_m,agent_up_m,foe_n_m,foe_e_m,foe_up_m,foe_roll_deg,foe_pitch_deg,foe_yaw_deg,mode
0.09999999999854481,0.02601980468762033,-0.16464888167849107,0.049689278627691943,31.763873918963142,-0.0023315780578933793,7227.710040111038,2952.586612688169,503.2736686340252,7668.566140638176,1.4056653764006894,-0.11261842600805225,193.73606173783966,offense
0.19999999999708962,0.1238116714988003,-1.4608922568698348,0.0633408038892387,63.56484094673935,-0.007572366258029339,7227.576944675124,2921.1294479194703,495.6680383563447,7668.579660430903,6.9463133016272,-1.3474893905079455,193.7655627364381,offense
0.2999999999956344,0.2798319858077268,-2.657000133206079,359.9535029510793,95.42011035545511,-0.02757486481268012,7227.21829525491,2889.641713574394,488.05545834518495,7668.4550761737855,14.04075502342769,-2.655505154907319,193.5837338748396,offense
0.39999999999417923,0.4795297695099746,-2.9437525728071403,359.9336357598744,127.3358289167517,-0.08336854511232443,7226.616236222443,2858.1205780848713,480.4451600256286,7668.157885762221,17.77630858974697,-3.6289033788961493,193.20938941873482,offense
0.49999999999272404,0.6524365671653346,-1.7988794634240997,0.5375446477154956,159.3112140128656,-0.16322632642401033,7225.844165458381,2826.584655954037,472.8403678616805,7667.71898044518,15.596831052440235,-4.239303531221552,192.85659389173205,offense
0.5999999999912689,0.7851661567532097,0.17617682817699046,2.0839807070891188,191.32360169496462,-0.1851971862779773,7225.053235063559,2795.0499807037945,465.2397316568136,7667.170330401734,8.716857948876136,-4.589765994640775,192.64816357716288,offense
0.6999999999898137,0.9522482805927208,1.7008743389295482,3.763344704180106,223.36920522504624,-0.0804760594606614,7224.300908688435,2763.5166324831134,457.65295947292003,7666.485874931538,2.043054157986402,-5.088879775014974,192.663175377059,offense
0.7999999999883585,1.1085520280437535,2.362474046461752,4.760087265683633,255.4597050067647,0.24222185498024948,7223.618941429371,2731.9720822182285,450.07680181871063,7665.5774595669245,0.8689281994854335,-5.778993187016861,192.81552425107486,offense
0.8999999999869033,1.1912750419655123,2.413017167012523,4.957435833367531,287.5738429565244,0.8730153822537142,7223.015515314424,2700.407090315391,442.50315369748597,7664.3770442931,2.1899575427874525,-6.434034521084837,192.85852963388118,offense
0.9999999999854481,1.24183008679806,2.6446237678094118,6.023159274816805,319.6736811314103,1.8834906255359207,7222.497725119704,2668.828285441433,434.9413812864881,7662.904990989474,3.936036013164634,-7.053001752674668,192.9225172928325,offense
