time,bank_rad,pitch_rad,heading_deg,agent_n_m,agent_e_m,agent_up_m,foe_n_m,foe_e_m,foe_up_m,foe_roll_deg,foe_pitch_deg,foe_yaw_deg
2755.300000001979,-0.03534818648128328,0.8251995347807909,359.9286840317873,31.96834226538158,0.0009802720256526982,7382.926750710789,3097.004146469928,-1890.9293742538084,7782.251289452979,-2.087746414439161,0.004226513692090812,195.87250302854224
2755.4000000019773,-0.13919578342037675,2.60069750713595,359.72079735189703,63.935132138288054,-0.008922738644839954,7383.183331497422,3065.820725777435,-1899.7704187996003,7782.394547017291,-8.16302263245691,-0.11091704260439658,195.78421822727202
2755.500000001976,-0.2773519450461852,5.075986975338334,359.23433117974446,95.88452499156517,-0.06852412408272932,7383.727343847022,3034.694963826945,-1908.567834795173,7782.620727306703,-17.255373494658425,-0.24942201056963528,195.73342830914248
2755.6000000019744,-0.41153208734015767,7.067492506194012,358.55241707150486,127.82044574245344,-0.23207215676126072,7384.589877877916,3003.6190513951356,-1917.3040655725297,7782.8977067641945,-27.96074594851421,-0.39311711916179953,195.75151357607186
2755.700000001973,-0.541304588279873,8.47005372774058,357.7627402079021,159.7299880393085,-0.5691587552405221,7385.804110876635,2972.582040029099,-1925.9807036349266,7783.165765020678,-36.85057002080476,-0.47447353101532685,195.874868676824
2755.8000000019715,-0.6732274836239629,9.470090172591615,356.88872266427467,191.5963222837382,-1.1477733796027054,7387.375683199981,2941.578020756302,-1934.6156944909185,7783.381421676913,-43.595939614080535,-0.531515725185063,195.96855244248584
2755.90000000197,-0.8091517665310194,10.207518763093447,355.9132061534932,223.4089216431116,-2.024271621717001,7389.27839310312,2910.6059992611736,-1943.1922422131836,7783.549997256616,-49.486689318866084,-0.5513401533025617,196.04621095666153
2756.0000000019686,-0.9494963334935438,10.743050636407782,354.81760130071586,255.16135460531297,-3.24467960763189,7391.468816050727,2879.663884497933,-1951.7239369839972,7783.652425871176,-54.05558380236313,-0.5495820673890792,196.08979936111103
2756.100000001967,-1.0942864587148404,11.094457366275034,353.58864348324795,286.8506890408055,-4.845853596181027,7393.893656526822,2848.7503543738117,-1960.205828692334,7783.68812523078,-57.94996376434028,-0.5284846418574485,196.09962472489374
2756.2000000019657,-1.2433362258723533,11.250095325104287,352.23028448756384,318.4764076662692,-6.856258664507113,7396.493763882494,2817.8636203371466,-1968.6447015202612,7783.650098501426,-61.05284421172491,-0.4971379959194849,196.07235730924396
2756.3000000019642,-1.3963104296105884,11.18392272078222,350.7650846997068,350.03955065077736,-9.296337201586262,7399.206378888676,2787.001694116068,-1977.0367034516776,7783.5390631027585,-63.660078752989435,-0.45849757698829663,196.00886248474268
2756.400000001963,-1.5528942801671861,10.863272515110323,349.2349299410614,381.5420064544101,-12.178359863692338,7401.966289998463,2756.162344194075,-1985.3823037540174,7783.353878646309,-65.77599257064522,-0.4178213999347719,195.91103195966411
2756.5000000019613,-1.6813298684262588,10.328369960688084,347.69025722949544,412.99051459032916,-15.493909676829478,7404.706042030326,2725.343208666219,-1993.6774871020225,7783.09583799466,-67.54414794752945,-0.37711433767166846,195.78062370334905
2756.60000000196,-1.7883665935479511,9.54897229552254,346.2352222573299,444.3969195423507,-19.21075348683566,7407.378944852937,2694.54196220546,-2001.9192061872977,7782.765889585331,-68.9977199032808,-0.3388346351653118,195.62034910780372
2756.7000000019584,-1.897046087765532,8.598029051376358,344.92085700135704,475.74305269671925,-23.359270180174015,7409.929118014304,2663.7561795760394,-2010.1024886655887,7782.365763598646,-70.21205207696599,-0.3040133533136233,195.43230496186032
2756.800000001957,-1.9443985777532058,7.676092657075959,343.87422022460584,507.05417527317894,-27.884915177003133,7412.3293756863095,2632.983319045013,-2018.222233878327,7781.897212446258,-71.21996053067932,-0.2735773980197311,195.21891160583706
2756.9000000019555,-1.942392298530516,6.8578519757819265,343.17368036758296,538.3592061743849,-32.745534963751744,7414.577903047407,2602.2207515433106,-2026.2724459955873,7781.362240899968,-72.0641343398857,-0.2478409437916453,194.98207306828806
2757.000000001954,-1.9012855359044716,6.092592498016686,342.4492589660719,569.6322635413778,-37.946847645275845,7416.661790445453,2571.465881920513,-2034.2468385282473,7780.762878488195,-72.77012038741678,-0.22709930012415458,194.72404123833246
2757.1000000019526,-1.8268365302764544,5.410325390675054,341.62240786449377,600.8413662072753,-43.508608230613525,7418.57667850923,2540.7167619689817,-2042.138886183861,7780.101105055797,-73.36410028769075,-0.21223529215004014,194.4489849852588
2757.200000001951,-1.7226389605209165,4.915496949354206,340.9044006937014,631.984948660648,-49.45937118135842,7420.335932043422,2509.97180821145,-2049.942008503942,7779.378827710659,-73.86424112252965,-0.20321385520860388,194.15886297938252
