time,bank_rad,pitch_rad,heading_deg,agent_n_m,agent_e_m,agent_up_m,foe_n_m,foe_e_m,foe_up_m,foe_roll_deg,foe_pitch_deg,foe_yaw_deg
0.09999999999999999,0.03231749513355492,0.30363145819621423,0.08757302575091729,29.461705853669287,-0.0012681770670714976,5490.95696374256,3548.9996475613425,-10.321475311702452,5132.108234600705,0.4832087825115454,0.3042795667836553,178.4035731351049
0.19999999999999998,0.1375997937927442,2.1158264648157608,0.33855069302043844,58.9599592462705,0.00031782422493830553,5490.893594160578,3519.9807368499933,-9.50853336436214,5132.1504686790795,0.994756204151494,1.8217664891608993,178.41123825733635
0.3000000000000001,0.2610872329667418,4.242149870560105,0.7216236598302549,88.51128280457586,0.020363808162300046,5490.859670991612,3490.9464150698695,-8.697912056516106,5132.3346147859365,1.2539612391130397,3.2665654212920856,178.44344312654786
0.4000000000000004,0.32234899030194686,4.4623961661030185,0.7009692538786981,118.09277154197689,0.10307271507280054,5490.99918428388,3461.898945387245,-7.8934506337924315,5132.699370312819,1.607359767039036,4.358266808063668,178.46688087448
0.5000000000000007,0.29007954961115867,3.1488837231831286,0.19685171407283605,147.67625537173464,0.27836455186974834,5491.37262260313,3432.848068469697,-7.097002844387815,5133.300649293199,1.782206944310589,5.40110155985652,178.50298390609555
0.6000000000000003,0.21794222997213628,1.5725459247504006,359.76243812359866,177.24335116161905,0.5283049030403544,5491.956262741471,3403.797204505162,-6.311301518936741,5134.158336298684,2.0056972163321425,6.255559752974373,178.53321933401418
0.7,0.1974378515639136,0.5625255835209,359.708457278803,206.81684305814042,0.8001960741623189,5492.588284959099,3374.7528646757746,-5.537669951373462,5135.294154278854,2.1177784125096877,6.982664722131969,178.5664316591953
0.7999999999999996,0.27538559326206846,-0.6458081925530638,359.659603360734,236.43006008784346,1.0556540713153368,5493.070729329139,3345.718491674998,-4.777578495838288,5136.711414306361,2.249193455021165,7.568976225750767,178.59434802028855
0.8999999999999992,0.39508426218138165,-1.3073235436793835,359.5335320384603,266.1035923032939,1.2650464125153877,5493.295807268277,3316.6978759691083,-4.031495184453351,5138.410450409916,2.3157190749835546,8.041513394629183,178.6213053466838
0.9999999999999989,0.4585987167963548,-2.3173937072294923,358.99937206137383,295.81973445419493,1.429544059332716,5493.312975625545,3287.6928761346903,-3.29980446778949,5140.381987837691,2.388506976142783,8.40261865801919,178.64339313040608
1.0999999999999985,0.4198879762506653,-3.1397075242790184,358.4614069602105,325.5483355412731,1.5737603319717832,5493.203376913574,3258.7048830629697,-2.5822628267464207,5142.613883905623,2.4258367754537993,8.669457807279443,178.6630417504873
1.1999999999999982,0.30370114952143606,-3.7439501333938083,358.11963792126943,355.262616389055,1.720221489105043,5493.028696124223,3229.733855883831,-1.8785180102053287,5145.088869324652,2.4652247077161884,8.849890097919328,178.67854587543405
1.2999999999999978,0.19826771329116227,-4.524901235021793,358.044660353583,384.95592465275223,1.8502842003023654,5492.758136040071,3200.7791632254816,-1.1878722898229024,5147.78817350632,2.486220950000122,8.957932449840543,178.69148682892802
1.3999999999999975,0.12665599223811166,-5.4532737496836745,357.95184862772453,414.6399311167847,1.9488652209564514,5492.2969723773485,3171.839164717695,-0.509569362892843,5150.690701337904,2.5085508016120692,9.00304584990936,178.70125199728903
1.4999999999999971,0.05333364252019591,-6.337834190788435,358.0096639716973,444.30633906797095,2.0151706283068402,5491.662760357654,3142.9117374706025,0.1573101955602231,5153.775053356844,2.522508459988648,8.996450912163507,178.70892739475997
1.5999999999999968,0.06826465478343023,-7.152734921792799,358.2424657528523,473.9700819732476,2.050168025818339,5490.746419369662,3113.9941599685367,0.8136839757220348,5157.019324924976,2.5386118190761335,8.947166356537169,178.7143770922195
1.6999999999999964,0.12526694275570882,-7.903169178004145,358.27612322603676,503.64318668440865,2.054776075375496,5489.448928939257,3085.083449289313,1.4605184031420635,5160.402236395508,2.5520130893318047,8.864349465424462,178.7183674726325
1.799999999999996,0.105667486491736,-8.626383074821982,358.152069970639,533.3039159387694,2.0216201544938825,5487.8481269115955,3056.176360134437,2.0987356727860056,5163.903105048787,2.568283183542262,8.75509404592374,178.72092349665226
1.8999999999999957,0.054186822147231944,-9.34326813388457,358.16209884362274,562.9304686868157,1.9552522188479389,5486.013025439626,3027.2696091181715,2.7292421325377556,5167.50245216598,2.584921786260797,8.62678241024795,178.72259589036946
1.9999999999999953,0.06968331473034771,-10.038902489844164,358.34649257336554,592.5326881907463,1.8585743707593692,5483.844856234512,2998.3599177856186,3.3528732996703883,5171.182056170127,2.604935492732512,8.486114863828098,178.7235160021723
2.099999999999995,0.12157737110500705,-10.711743380721327,358.34897559602297,622.1223875168326,1.7330350556788183,5481.260599238795,2969.4441439252932,3.9704116472245587,5174.925277993512,2.626838021116995,8.33863850934468,178.7240664286925
2.199999999999995,0.09566748598568628,-11.386417221309081,358.20568589559144,651.6850299940494,1.57214710789841,5478.351888472474,2940.519312776329,4.582558314540353,5178.717030041895,2.6521958166612194,8.188270668029581,178.72432563795581
2.2999999999999945,0.03780418604852823,-12.071053576171416,358.2097948610491,681.2041273280622,1.381559097785688,5475.195738569462,2911.58269356559,5.1899472067634385,5182.543882525456,2.6801789973875905,8.038753282846072,178.7245515304653
2.399999999999994,0.048340445486863434,-12.74186233786105,358.3931142278211,710.68644354643,1.167174120249957,5471.697168175927,2882.631816182682,5.793128961392566,5186.394021974463,2.711678270789363,7.893418700208233,178.72483825136854
2.499999999999994,0.09508023138563716,-13.400859651129245,358.4000652399979,740.141199954206,0.9325759933487898,5467.776159416485,2853.664491676354,6.392582915058725,5190.257246537286,2.7460958808655156,7.754139803127637,178.7253296385365
2.5999999999999934,0.13543643362785446,-14.0839730918994,358.43101058922684,769.5628442280953,0.6634370635181802,5463.486252565295,2824.6787994483625,6.988713531602426,5194.124811287588,2.783885731733674,7.621286772945152,178.72601193665997
2.699999999999993,0.19106879171186344,-14.686835279947871,358.31361331653153,798.9548020222707,0.35423786864924217,5458.789763721595,2795.6732858640526,7.581865894333051,5197.989128244898,2.82486701320085,7.494363846418362,178.72691675265833
2.7999999999999927,0.15643823785379402,-15.298152163579545,358.0673682642518,828.3108002807132,0.004321797277918529,5453.783753477312,2766.6471602457423,8.172328269491702,5201.843418266094,2.869651710282185,7.372299571690421,178.72798528969736
2.8999999999999924,0.08697266847395448,-15.982132929047655,357.9916493632497,857.6194761976993,-0.37609859325484235,5448.543852582354,2737.5997901989103,8.760340100010747,5205.681934459046,2.9183531805065863,7.254716050386475,178.72922531629428
