time,bank_rad,pitch_rad,heading_deg,agent_n_m,agent_e_m,agent_up_m,foe_n_m,foe_e_m,foe_up_m,foe_roll_deg,foe_pitch_deg,foe_yaw_deg,mode
0.09999999999990905,0.024691969756126683,-0.6988124271669683,0.04904503355963321,32.07012280526011,-0.002366337852300008,7458.473289481098,2917.958063741097,1143.749849024549,7116.837024805499,-2.108631570679846,-0.00043043080099992436,181.9157407832127,offense
0.1999999999998181,0.12267441497941767,-2.123803403887506,0.07207938392377931,64.15369358970237,-0.00475385495043298,7458.4265283080495,2886.457604528658,1142.6761936341466,7116.985630276484,-8.185366223220559,-0.1161403960201848,181.84505019472178,offense
0.29999999999972715,0.2806162189990418,-3.143804213324484,359.9914071454424,96.27250126127105,-0.01767643603233159,7458.178715579519,2855.012455190925,1141.6293048753032,7117.219235231933,-17.21498023472008,-0.2510804647388517,181.81183444188298,offense
0.3999999999996362,0.4359868437129256,-3.241069816366226,359.92676272321535,128.44379364793002,-0.0639375180595993,7457.674628341082,2823.6185820971928,1140.627983016556,7117.50542320143,-27.867205757856638,-0.38983876064264217,181.8401650219684,offense
0.49999999999954525,0.5676715044311665,-2.0012698720741855,0.5306783054454733,160.66346122550246,-0.12909025895279425,7457.014497230995,2792.26489248119,1139.6751226285255,7117.786285795355,-36.71981323843349,-0.4696588381265524,181.96260851427354,offense
0.5999999999994543,0.7332878986380594,0.1256810481823221,2.008256449533468,192.92826301862166,-0.1751821035308728,7456.281069910097,2760.94019768749,1138.7543627382472,7118.016007453135,-43.46346448756982,-0.5262450603213529,182.05533775707312,offense
0.6999999999993634,0.9241556432614259,1.786231138665723,3.6386116627375693,225.22892541485473,-0.11516597175073794,7455.573102709606,2729.647199701152,1137.882272209633,7118.199841625226,-49.35111135322473,-0.545129178710319,182.13469729409172,offense
0.7999999999992724,1.092822142588118,2.726339637925063,4.986249080900725,257.5658146004341,0.16351939674529142,7454.944911206103,2698.379952492867,1137.0454047293033,7118.317717431218,-53.91736691550041,-0.5447521529642372,182.17857008698417,offense
0.8999999999991815,1.237317285744576,3.12531160002189,6.1497731605613435,289.91607256060917,0.7662825638594291,7454.417218639568,2667.13833948965,1136.2495203110927,7118.36947952199,-57.8282045674108,-0.5244966006110409,182.1905943996567,offense
0.9999999999990905,1.3892238228784655,3.2309678436162765,7.233890508703983,322.2760857239399,1.7075785271951922,7453.93942228024,2635.9184367369157,1135.4871421466055,7118.3471486596145,-60.93444230701606,-0.49557620734971536,182.16501969713346,offense
